respiratory_season,tester,site_type,name_of_sampling_location,7_day_average_of_sars-cov-2_concentration,number_of_samples_in_the_last_7_days,sars-cov-2_detected,sample_collection_date,units_(measuring_concentration),city_of_sampling_location,state_of_sampling_location,county_of_sampling_location,date_data_last_updated,date,source
2024-2025,BioBot,Municipal,S.Deerfield WWTP,446117.62564714113,3,Detected,2024-08-06T00:00:00Z,copies/L,Deerfield,MA,Franklin,2025-02-20T00:00:00Z,2024-08-06,current
2024-2025,BioBot,Municipal,MWRA Northern,655089.6588137569,7,Detected,2024-08-30T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-02-20T00:00:00Z,2024-08-30,current
2024-2025,BioBot,Municipal,Greater Lawrence Sanitary District,656738.6624404987,4,Detected,2024-12-11T00:00:00Z,copies/L,North Andover,MA,Essex,2025-02-20T00:00:00Z,2024-12-11,current
2024-2025,BioBot,Municipal,Fitchburg Public Works,560148.1630680873,4,Detected,2025-02-13T00:00:00Z,copies/L,Fitchburg,MA,Worcester,2025-02-20T00:00:00Z,2025-02-13,current
2024-2025,BioBot,Municipal,MWRA Northern,215902.72894044133,7,Detected,2024-10-10T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-02-20T00:00:00Z,2024-10-10,current
2024-2025,BioBot,Municipal,MWRA Northern,753475.138133258,7,Detected,2024-08-21T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-02-20T00:00:00Z,2024-08-21,current
2024-2025,BioBot,Municipal,MWRA Southern,569383.9712185056,7,Detected,2024-07-03T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-02-20T00:00:00Z,2024-07-03,current
2024-2025,BioBot,Municipal,Fitchburg Public Works,1496261.3506327202,4,Detected,2024-08-15T00:00:00Z,copies/L,Fitchburg,MA,Worcester,2025-02-20T00:00:00Z,2024-08-15,current
2024-2025,BioBot,Municipal,Lynn WWTF,168626.4915674303,3,Detected,2024-10-30T00:00:00Z,copies/L,Lynn,MA,Essex,2025-02-20T00:00:00Z,2024-10-30,current
2024-2025,BioBot,Municipal,Wareham WPCF,1681600.8573212822,4,Detected,2024-11-26T00:00:00Z,copies/L,Wareham,MA,Plymouth,2025-02-20T00:00:00Z,2024-11-26,current
2024-2025,BioBot,Municipal,Wareham WPCF,1611693.6471291198,4,Detected,2024-11-26T00:00:00Z,copies/L,Wareham,MA,Plymouth,2025-02-20T00:00:00Z,2024-11-26,current
2024-2025,BioBot,Municipal,MWRA Northern,396755.70475381997,7,Detected,2024-12-08T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-02-20T00:00:00Z,2024-12-08,current
2024-2025,BioBot,Municipal,Uxbridge WWTF,1019952.47135133,3,Detected,2024-12-12T00:00:00Z,copies/L,Uxbridge,MA,Worcester,2025-02-20T00:00:00Z,2024-12-12,current
2024-2025,BioBot,Municipal,Montague Clean Water Facility,633284.8580076016,3,Detected,2024-07-31T00:00:00Z,copies/L,Montague,MA,Franklin,2025-02-20T00:00:00Z,2024-07-31,current
2024-2025,BioBot,Municipal,South Hadley Div. of WPC,300851.87979442754,4,Detected,2024-10-12T00:00:00Z,copies/L,Chicopee,MA,Hampden,2025-02-20T00:00:00Z,2024-10-12,current
2024-2025,BioBot,Municipal,Greater Lawrence Sanitary District,856273.9401188126,4,Detected,2025-01-28T00:00:00Z,copies/L,North Andover,MA,Essex,2025-02-20T00:00:00Z,2025-01-28,current
2024-2025,BioBot,Municipal,Greater Lawrence Sanitary District,271375.57793312264,4,Detected,2024-11-11T00:00:00Z,copies/L,North Andover,MA,Essex,2025-02-20T00:00:00Z,2024-11-11,current
2024-2025,BioBot,Municipal,Pittsfield WWTP,354226.600384671,4,Detected,2024-11-15T00:00:00Z,copies/L,Pittsfield,MA,Berkshire,2025-02-20T00:00:00Z,2024-11-15,current
2024-2025,BioBot,Municipal,Greater Lawrence Sanitary District,348635.6799414443,4,Detected,2024-11-26T00:00:00Z,copies/L,North Andover,MA,Essex,2025-02-20T00:00:00Z,2024-11-26,current
2024-2025,BioBot,Municipal,MWRA Northern,148412.65772656075,7,Detected,2024-10-26T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-02-20T00:00:00Z,2024-10-26,current
2024-2025,BioBot,Municipal,MWRA Southern,615260.5385440718,7,Detected,2024-08-23T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-02-20T00:00:00Z,2024-08-23,current
2024-2025,BioBot,Municipal,MWRA Northern,624938.3362530236,7,Detected,2025-01-15T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-02-20T00:00:00Z,2025-01-15,current
2024-2025,BioBot,Municipal,Pittsfield WWTP,1796623.894064159,4,Detected,2025-01-22T00:00:00Z,copies/L,Pittsfield,MA,Berkshire,2025-02-20T00:00:00Z,2025-01-22,current
2024-2025,BioBot,Municipal,Plymouth Headworks Influent,529815.9754440401,2,Detected,2024-11-07T00:00:00Z,copies/L,Plymouth,MA,Plymouth,2025-02-20T00:00:00Z,2024-11-07,current
2024-2025,BioBot,Municipal,MWRA Northern,675187.2129440763,7,Detected,2024-08-09T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-02-20T00:00:00Z,2024-08-09,current
2024-2025,BioBot,Municipal,Brockton/ Abington,868389.4475875939,2,Detected,2024-07-08T00:00:00Z,copies/L,Brockton,MA,Plymouth,2025-02-20T00:00:00Z,2024-07-08,current
2024-2025,BioBot,Municipal,Whitman,8939022.351310572,4,Detected,2024-10-30T00:00:00Z,copies/L,Brockton,MA,Plymouth,2025-02-20T00:00:00Z,2024-10-30,current
2024-2025,BioBot,Municipal,MWRA Northern,216253.53593811157,7,Detected,2024-10-16T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-02-20T00:00:00Z,2024-10-16,current
2024-2025,BioBot,Municipal,Fitchburg Public Works,1267037.148991343,4,Detected,2024-12-18T00:00:00Z,copies/L,Fitchburg,MA,Worcester,2025-02-20T00:00:00Z,2024-12-18,current
2024-2025,BioBot,Municipal,MWRA Northern,487353.1593004453,7,Detected,2025-01-17T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-02-20T00:00:00Z,2025-01-17,current
2024-2025,BioBot,Municipal,MWRA Southern,658376.2126393268,7,Detected,2024-09-12T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-02-20T00:00:00Z,2024-09-12,current
2024-2025,BioBot,Municipal,MWRA Southern,699033.2043317949,7,Detected,2024-07-13T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-02-20T00:00:00Z,2024-07-13,current
2024-2025,BioBot,Municipal,Fitchburg Public Works,1036976.8415012837,4,Detected,2025-01-08T00:00:00Z,copies/L,Fitchburg,MA,Worcester,2025-02-20T00:00:00Z,2025-01-08,current
2024-2025,BioBot,Municipal,Wareham WPCF,1919800.9041563584,4,Detected,2025-01-09T00:00:00Z,copies/L,Wareham,MA,Plymouth,2025-02-20T00:00:00Z,2025-01-09,current
2024-2025,BioBot,Municipal,Fitchburg Public Works,758660.1275503259,4,Detected,2025-02-11T00:00:00Z,copies/L,Fitchburg,MA,Worcester,2025-02-20T00:00:00Z,2025-02-11,current
2024-2025,BioBot,Municipal,MWRA Southern,572900.1226424917,7,Detected,2025-01-23T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-02-20T00:00:00Z,2025-01-23,current
2024-2025,BioBot,Municipal,Lynn WWTF,436448.0964382194,2,Detected,2024-09-05T00:00:00Z,copies/L,Lynn,MA,Essex,2025-02-20T00:00:00Z,2024-09-05,current
2024-2025,BioBot,Municipal,Hull WWTF,3788688.7363323728,2,Detected,2025-01-09T00:00:00Z,copies/L,Hull,MA,Plymouth,2025-02-20T00:00:00Z,2025-01-09,current
2024-2025,BioBot,Municipal,Pittsfield WWTP,1756743.7686015056,4,Detected,2025-01-24T00:00:00Z,copies/L,Pittsfield,MA,Berkshire,2025-02-20T00:00:00Z,2025-01-24,current
2024-2025,BioBot,Municipal,MWRA Northern,281726.6181498146,7,Detected,2024-12-02T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-02-20T00:00:00Z,2024-12-02,current
2024-2025,BioBot,Municipal,Hull WWTF,828404.5546850264,3,Detected,2024-08-07T00:00:00Z,copies/L,Hull,MA,Plymouth,2025-02-20T00:00:00Z,2024-08-07,current
2024-2025,BioBot,Municipal,South Hadley Div. of WPC,612500.3949527581,4,Detected,2024-07-13T00:00:00Z,copies/L,Chicopee,MA,Hampden,2025-02-20T00:00:00Z,2024-07-13,current
2024-2025,BioBot,Municipal,MWRA Northern,792760.6892962077,7,Detected,2025-01-14T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-02-20T00:00:00Z,2025-01-14,current
2024-2025,BioBot,Municipal,Upper Blackstone Clean Water,983640.4296154939,3,Detected,2025-01-22T00:00:00Z,copies/L,Worcester,MA,Worcester,2025-02-20T00:00:00Z,2025-01-22,current
2024-2025,BioBot,Municipal,Pittsfield WWTP,767197.3938813237,4,Detected,2024-08-16T00:00:00Z,copies/L,Pittsfield,MA,Berkshire,2025-02-20T00:00:00Z,2024-08-16,current
2024-2025,BioBot,Municipal,MWRA Northern,899701.8322673835,7,Detected,2024-12-27T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-02-20T00:00:00Z,2024-12-27,current
2024-2025,BioBot,Municipal,South Hadley Div. of WPC,1336167.0042038923,4,Detected,2025-01-11T00:00:00Z,copies/L,Chicopee,MA,Hampden,2025-02-20T00:00:00Z,2025-01-11,current
2024-2025,BioBot,Municipal,Greater Lawrence Sanitary District,997750.7195265293,4,Detected,2025-01-15T00:00:00Z,copies/L,North Andover,MA,Essex,2025-02-20T00:00:00Z,2025-01-15,current
2024-2025,BioBot,Municipal,Fitchburg Public Works,384016.672210843,3,Detected,2024-12-03T00:00:00Z,copies/L,Fitchburg,MA,Worcester,2025-02-20T00:00:00Z,2024-12-03,current
2024-2025,BioBot,Municipal,Uxbridge WWTF,1403159.9024201494,3,Detected,2024-08-29T00:00:00Z,copies/L,Uxbridge,MA,Worcester,2025-02-20T00:00:00Z,2024-08-29,current
2024-2025,BioBot,Municipal,MWRA Southern,679258.9464787003,7,Detected,2024-06-30T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-02-20T00:00:00Z,2024-06-30,current
2024-2025,BioBot,Municipal,MWRA Southern,1117738.1814430098,7,Detected,2024-12-29T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-02-20T00:00:00Z,2024-12-29,current
2024-2025,BioBot,Municipal,MWRA Southern,699699.6377606487,7,Detected,2024-08-11T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-02-20T00:00:00Z,2024-08-11,current
2024-2025,BioBot,Municipal,Lynn WWTF,1867792.076099909,3,Detected,2024-08-21T00:00:00Z,copies/L,Lynn,MA,Essex,2025-02-20T00:00:00Z,2024-08-21,current
2024-2025,BioBot,Municipal,MWRA Northern,430100.6038224081,7,Detected,2025-01-18T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-02-20T00:00:00Z,2025-01-18,current
2024-2025,BioBot,Municipal,Whitman,520926.5657044441,4,Detected,2025-02-12T00:00:00Z,copies/L,Brockton,MA,Plymouth,2025-02-20T00:00:00Z,2025-02-12,current
2024-2025,BioBot,Municipal,Wareham WPCF,1321915.9654881598,3,Detected,2024-12-31T00:00:00Z,copies/L,Wareham,MA,Plymouth,2025-02-20T00:00:00Z,2024-12-31,current
2024-2025,BioBot,Municipal,Upper Blackstone Clean Water,855802.5540584682,4,Detected,2024-07-10T00:00:00Z,copies/L,Worcester,MA,Worcester,2025-02-20T00:00:00Z,2024-07-10,current
2024-2025,BioBot,Municipal,Upper Blackstone Clean Water,812536.7538474508,4,Detected,2024-07-15T00:00:00Z,copies/L,Worcester,MA,Worcester,2025-02-20T00:00:00Z,2024-07-15,current
2024-2025,BioBot,Municipal,MWRA Northern,216570.90508356324,7,Detected,2024-10-09T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-02-20T00:00:00Z,2024-10-09,current
2024-2025,BioBot,Municipal,Wareham WPCF,944774.3114395025,3,Detected,2024-12-03T00:00:00Z,copies/L,Wareham,MA,Plymouth,2025-02-20T00:00:00Z,2024-12-03,current
2024-2025,BioBot,Municipal,Plymouth Headworks Influent,668702.2682997055,3,Detected,2024-09-05T00:00:00Z,copies/L,Plymouth,MA,Plymouth,2025-02-20T00:00:00Z,2024-09-05,current
2024-2025,BioBot,Municipal,MWRA Southern,284655.5428130082,7,Detected,2024-09-25T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-02-20T00:00:00Z,2024-09-25,current
2024-2025,BioBot,Municipal,Brockton/ Abington,1131518.1686318016,4,Detected,2024-08-13T00:00:00Z,copies/L,Brockton,MA,Plymouth,2025-02-20T00:00:00Z,2024-08-13,current
2024-2025,BioBot,Municipal,Brockton/ Abington,995874.4264895277,3,Detected,2024-12-16T00:00:00Z,copies/L,Brockton,MA,Plymouth,2025-02-20T00:00:00Z,2024-12-16,current
2024-2025,BioBot,Municipal,MWRA Northern,727282.871733047,7,Detected,2024-08-20T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-02-20T00:00:00Z,2024-08-20,current
2024-2025,BioBot,Municipal,MWRA Southern,602803.9416101283,7,Detected,2024-08-29T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-02-20T00:00:00Z,2024-08-29,current
2024-2025,BioBot,Municipal,Fitchburg Public Works,1085742.1332300617,4,Detected,2024-08-29T00:00:00Z,copies/L,Fitchburg,MA,Worcester,2025-02-20T00:00:00Z,2024-08-29,current
2024-2025,BioBot,Municipal,MWRA Southern,168982.07963317883,7,Detected,2024-10-30T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-02-20T00:00:00Z,2024-10-30,current
2024-2025,BioBot,Municipal,Wareham WPCF,326576.1123982145,4,Detected,2024-11-20T00:00:00Z,copies/L,Wareham,MA,Plymouth,2025-02-20T00:00:00Z,2024-11-20,current
2024-2025,BioBot,Municipal,MWRA Northern,800708.7651263665,7,Detected,2024-12-31T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-02-20T00:00:00Z,2024-12-31,current
2024-2025,BioBot,Municipal,Brockton/ Abington,1059583.5620590982,4,Detected,2024-08-27T00:00:00Z,copies/L,Brockton,MA,Plymouth,2025-02-20T00:00:00Z,2024-08-27,current
2024-2025,BioBot,Municipal,MWRA Southern,519712.1372862827,7,Detected,2024-09-13T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-02-20T00:00:00Z,2024-09-13,current
2024-2025,BioBot,Municipal,Hull WWTF,420604.32780132536,3,Detected,2024-09-25T00:00:00Z,copies/L,Hull,MA,Plymouth,2025-02-20T00:00:00Z,2024-09-25,current
2024-2025,BioBot,Municipal,Hull WWTF,3493547.8667463474,3,Detected,2024-08-28T00:00:00Z,copies/L,Hull,MA,Plymouth,2025-02-20T00:00:00Z,2024-08-28,current
2024-2025,BioBot,Municipal,Fitchburg Public Works,1068755.5440398338,4,Detected,2025-01-28T00:00:00Z,copies/L,Fitchburg,MA,Worcester,2025-02-20T00:00:00Z,2025-01-28,current
2024-2025,BioBot,Municipal,Lynn WWTF,164187.19098221543,3,Detected,2024-10-23T00:00:00Z,copies/L,Lynn,MA,Essex,2025-02-20T00:00:00Z,2024-10-23,current
2024-2025,BioBot,Municipal,Pittsfield WWTP,585079.4462855768,4,Detected,2025-01-31T00:00:00Z,copies/L,Pittsfield,MA,Berkshire,2025-02-20T00:00:00Z,2025-01-31,current
2024-2025,BioBot,Municipal,Montague Clean Water Facility,766036.2425721077,3,Detected,2024-10-02T00:00:00Z,copies/L,Montague,MA,Franklin,2025-02-20T00:00:00Z,2024-10-02,current
2024-2025,BioBot,Municipal,MWRA Southern,570815.5878867012,7,Detected,2024-12-10T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-02-20T00:00:00Z,2024-12-10,current
2024-2025,BioBot,Municipal,MWRA Northern,441799.3706755034,7,Detected,2024-09-09T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-02-20T00:00:00Z,2024-09-09,current
2024-2025,BioBot,Municipal,Montague Clean Water Facility,547273.9869702938,3,Detected,2024-08-14T00:00:00Z,copies/L,Montague,MA,Franklin,2025-02-20T00:00:00Z,2024-08-14,current
2024-2025,BioBot,Municipal,Upper Blackstone Clean Water,740793.322843985,4,Detected,2025-02-12T00:00:00Z,copies/L,Worcester,MA,Worcester,2025-02-20T00:00:00Z,2025-02-12,current
2024-2025,BioBot,Municipal,Brockton/ Abington,1108837.4466580264,3,Detected,2025-01-21T00:00:00Z,copies/L,Brockton,MA,Plymouth,2025-02-20T00:00:00Z,2025-01-21,current
2024-2025,BioBot,Municipal,MWRA Southern,625129.2663115197,7,Detected,2025-02-08T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-02-20T00:00:00Z,2025-02-08,current
2024-2025,BioBot,Municipal,MWRA Northern,191270.45801457917,7,Detected,2024-10-19T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-02-20T00:00:00Z,2024-10-19,current
2024-2025,BioBot,Municipal,Hull WWTF,489121.08928125136,3,Detected,2025-01-30T00:00:00Z,copies/L,Hull,MA,Plymouth,2025-02-20T00:00:00Z,2025-01-30,current
2024-2025,BioBot,Municipal,Pittsfield WWTP,751574.7687300403,4,Detected,2024-07-23T00:00:00Z,copies/L,Pittsfield,MA,Berkshire,2025-02-20T00:00:00Z,2024-07-23,current
2024-2025,BioBot,Municipal,Uxbridge WWTF,745410.0712872188,3,Detected,2024-09-26T00:00:00Z,copies/L,Uxbridge,MA,Worcester,2025-02-20T00:00:00Z,2024-09-26,current
2024-2025,BioBot,Municipal,Uxbridge WWTF,1067823.3413858477,3,Detected,2024-09-04T00:00:00Z,copies/L,Uxbridge,MA,Worcester,2025-02-20T00:00:00Z,2024-09-04,current
2024-2025,BioBot,Municipal,Brockton/ Abington,1177483.995027493,3,Detected,2024-07-09T00:00:00Z,copies/L,Brockton,MA,Plymouth,2025-02-20T00:00:00Z,2024-07-09,current
2024-2025,BioBot,Municipal,MWRA Northern,653212.0599658762,7,Detected,2024-08-16T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-02-20T00:00:00Z,2024-08-16,current
2024-2025,BioBot,Municipal,Wareham WPCF,681991.762746925,4,Detected,2024-08-15T00:00:00Z,copies/L,Wareham,MA,Plymouth,2025-02-20T00:00:00Z,2024-08-15,current
2024-2025,BioBot,Municipal,Lynn WWTF,310238.3280425469,3,Detected,2024-11-13T00:00:00Z,copies/L,Lynn,MA,Essex,2025-02-20T00:00:00Z,2024-11-13,current
