tester,site_type,name_of_sampling_location,7_day_average_of_sars-cov-2_concentration,number_of_samples_in_the_last_7_days,sars-cov-2_detected,sample_collection_date,units_(measuring_concentration),city_of_sampling_location,state_of_sampling_location,county_of_sampling_location,date_data_last_updated,date,source
BioBot,Municipal,Lynn WWTF,694913.974368005,3,Detected,2023-11-16T00:00:00Z,copies/L,Lynn,MA,Essex,2024-07-24T00:00:00Z,2023-11-16,arch
BioBot,Municipal,MWRA Southern,7785807.932285713,7,Detected,2021-12-28T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2024-07-24T00:00:00Z,2021-12-28,arch
BioBot,Municipal,SESD-Peabody/Salem Pump,502019.05168610194,4,Detected,2024-03-29T00:00:00Z,copies/L,Salem,MA,Essex,2024-07-24T00:00:00Z,2024-03-29,arch
BioBot,Municipal,Upper Blackstone Clean Water,509022.38434999995,4,Detected,2023-04-04T00:00:00Z,copies/L,Worcester,MA,Worcester,2024-07-24T00:00:00Z,2023-04-04,arch
BioBot,Municipal,MWRA Southern,264610.35319766076,7,Detected,2024-04-23T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2024-07-24T00:00:00Z,2024-04-23,arch
BioBot,Municipal,MWRA Northern,319170.0676285714,7,Detected,2023-03-12T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2024-07-24T00:00:00Z,2023-03-12,arch
BioBot,Municipal,Greater Lawrence Sanitary District,1035010.202975,4,Detected,2022-11-01T00:00:00Z,copies/L,North Andover,MA,Essex,2024-07-24T00:00:00Z,2022-11-01,arch
BioBot,Municipal,MWRA Southern,52183.89737,5,Detected,2020-09-12T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2024-07-24T00:00:00Z,2020-09-12,arch
BioBot,Municipal,North Brookfield WWTP,768655.2183000001,2,Detected,2022-07-28T00:00:00Z,copies/L,North Brookfield,MA,Worcester,2024-07-24T00:00:00Z,2022-07-28,arch
BioBot,Municipal,Haverhill WWTP,385696.50469848444,2,Detected,2024-04-23T00:00:00Z,copies/L,Haverhill,MA,Essex,2024-07-24T00:00:00Z,2024-04-23,arch
BioBot,Municipal,MWRA Southern,394418.1267124418,7,Detected,2023-10-19T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2024-07-24T00:00:00Z,2023-10-19,arch
BioBot,Municipal,South Hadley Div. of WPC,424427.131075,4,Detected,2023-03-22T00:00:00Z,copies/L,Chicopee,MA,Hampden,2024-07-24T00:00:00Z,2023-03-22,arch
BioBot,Municipal,Billerica Treatment Plant,115381.10629,2,Detected,2021-08-11T00:00:00Z,copies/L,Billerica,MA,Middlesex,2024-07-24T00:00:00Z,2021-08-11,arch
BioBot,Municipal,MWRA Southern,714772.1035571428,7,Detected,2022-07-02T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2024-07-24T00:00:00Z,2022-07-02,arch
BioBot,Municipal,Hadley WWTP,331780.1856670842,2,Detected,2023-09-14T00:00:00Z,copies/L,Chicopee,MA,Hampden,2024-07-24T00:00:00Z,2023-09-14,arch
BioBot,Municipal,Upper Blackstone Clean Water,298232.60612500005,4,Detected,2023-06-13T00:00:00Z,copies/L,Worcester,MA,Worcester,2024-07-24T00:00:00Z,2023-06-13,arch
BioBot,Municipal,MWRA Northern,643348.7295142857,7,Detected,2021-11-19T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2024-07-24T00:00:00Z,2021-11-19,arch
BioBot,Municipal,MWRA Northern,225790.29037142856,7,Detected,2020-11-05T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2024-07-24T00:00:00Z,2020-11-05,arch
BioBot,Municipal,Haverhill WWTP,2512442.640466667,3,Detected,2021-12-01T00:00:00Z,copies/L,Haverhill,MA,Essex,2024-07-24T00:00:00Z,2021-12-01,arch
BioBot,Municipal,Brockton/ Abington,178347.32866250002,4,Detected,2023-05-18T00:00:00Z,copies/L,Brockton,MA,Plymouth,2024-07-24T00:00:00Z,2023-05-18,arch
BioBot,Municipal,MWRA Northern,531718.4508,7,Detected,2022-09-19T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2024-07-24T00:00:00Z,2022-09-19,arch
BioBot,Municipal,Uxbridge WWTF,1267746.3341333333,3,Detected,2022-08-24T00:00:00Z,copies/L,Uxbridge,MA,Worcester,2024-07-24T00:00:00Z,2022-08-24,arch
BioBot,Municipal,MWRA Northern,813445.7887714285,7,Detected,2023-02-02T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2024-07-24T00:00:00Z,2023-02-02,arch
BioBot,Municipal,MWRA Southern,132781.0997685714,7,Detected,2020-11-01T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2024-07-24T00:00:00Z,2020-11-01,arch
BioBot,Municipal,South Hadley Div. of WPC,198312.36141080054,4,Detected,2024-06-28T00:00:00Z,copies/L,Chicopee,MA,Hampden,2024-07-24T00:00:00Z,2024-06-28,arch
BioBot,Municipal,MWRA Southern,717794.5181,7,Detected,2022-07-09T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2024-07-24T00:00:00Z,2022-07-09,arch
BioBot,Municipal,MWRA Northern,46341.90821857143,7,Detected,2021-07-09T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2024-07-24T00:00:00Z,2021-07-09,arch
BioBot,Municipal,Greenfield WPCF,533748.1617454602,2,Detected,2023-10-20T00:00:00Z,copies/L,Greenfield,MA,Franklin,2024-07-24T00:00:00Z,2023-10-20,arch
BioBot,Municipal,Greater Lawrence Sanitary District,253397.47967499998,4,Detected,2023-05-09T00:00:00Z,copies/L,North Andover,MA,Essex,2024-07-24T00:00:00Z,2023-05-09,arch
