respiratory_season,tester,sars-cov-2_detected,sample_collection_date,site_type,name_of_sampling_location,7_day_average_of_sars-cov-2_concentration,number_of_samples_in_the_last_7_days,units_(measuring_concentration),city_of_sampling_location,state_of_sampling_location,county_of_sampling_location,date_data_last_updated,date,source
2025-2026,BioBot,Detected,2025-07-31T00:00:00Z,Municipal,Fitchburg Public Works,321357.11333333334,3,copies/L,Fitchburg,MA,Worcester,2025-11-13T00:00:00Z,2025-07-31,current
2025-2026,BioBot,Detected,2025-11-03T00:00:00Z,Municipal,Fall River WWTP,30598.2775,4,copies/L,Fall River,MA,Bristol,2025-11-13T00:00:00Z,2025-11-03,current
2025-2026,BioBot,Not Detected,2025-09-04T00:00:00Z,Municipal,Surfside WTF,963889.085,2,copies/L,Nantucket,MA,Nantucket,2025-11-13T00:00:00Z,2025-09-04,current
2025-2026,BioBot,Detected,2025-09-04T00:00:00Z,Municipal,Surfside WTF,1368405.39,2,copies/L,Nantucket,MA,Nantucket,2025-11-13T00:00:00Z,2025-09-04,current
2025-2026,BioBot,Detected,2025-08-02T00:00:00Z,Municipal,MWRA Northern,133957.24,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-08-02,current
2025-2026,BioBot,Detected,2025-10-09T00:00:00Z,Municipal,Plymouth Headworks Influent,1497642.826666667,3,copies/L,Plymouth,MA,Plymouth,2025-11-13T00:00:00Z,2025-10-09,current
2025-2026,BioBot,Detected,2025-08-06T00:00:00Z,Municipal,Haverhill WWTP,235410.9025,4,copies/L,Haverhill,MA,Essex,2025-11-13T00:00:00Z,2025-08-06,current
2025-2026,BioBot,Detected,2025-10-04T00:00:00Z,Municipal,SESD-Peabody/Salem Pump,482548.64,4,copies/L,Salem,MA,Essex,2025-11-13T00:00:00Z,2025-10-04,current
2025-2026,BioBot,Detected,2025-07-01T00:00:00Z,Municipal,MWRA Southern,115342.66714285714,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-07-01,current
2025-2026,BioBot,Detected,2025-08-05T00:00:00Z,Municipal,Brockton/ Abington,527794.0700000001,4,copies/L,Brockton,MA,Plymouth,2025-11-13T00:00:00Z,2025-08-05,current
2025-2026,BioBot,Detected,2025-10-30T00:00:00Z,Municipal,Brockton/ Abington,185087.8225,4,copies/L,Brockton,MA,Plymouth,2025-11-13T00:00:00Z,2025-10-30,current
2025-2026,BioBot,Detected,2025-08-06T00:00:00Z,Municipal,Upper Blackstone Clean Water,634745.03,4,copies/L,Worcester,MA,Worcester,2025-11-13T00:00:00Z,2025-08-06,current
2025-2026,BioBot,Detected,2025-09-11T00:00:00Z,Municipal,Amherst WWTP,981839.58,2,copies/L,Hadley,MA,Hampshire,2025-11-13T00:00:00Z,2025-09-11,current
2025-2026,BioBot,Detected,2025-09-20T00:00:00Z,Municipal,SESD-Peabody/Salem Pump,555475.7125,4,copies/L,Salem,MA,Essex,2025-11-13T00:00:00Z,2025-09-20,current
2025-2026,BioBot,Detected,2025-08-12T00:00:00Z,Municipal,Brockton/ Abington,376134.60750000004,4,copies/L,Brockton,MA,Plymouth,2025-11-13T00:00:00Z,2025-08-12,current
2025-2026,BioBot,Detected,2025-07-11T00:00:00Z,Municipal,MWRA Southern,96257.41285714287,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-07-11,current
2025-2026,BioBot,Detected,2025-07-29T00:00:00Z,Municipal,Upper Blackstone Clean Water,290133.6425,4,copies/L,Worcester,MA,Worcester,2025-11-13T00:00:00Z,2025-07-29,current
2025-2026,BioBot,Detected,2025-07-06T00:00:00Z,Municipal,SESD-Peabody/Salem Pump,174419.705,4,copies/L,Salem,MA,Essex,2025-11-13T00:00:00Z,2025-07-06,current
2025-2026,BioBot,Detected,2025-11-02T00:00:00Z,Municipal,MWRA Northern,189499.78285714285,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-11-02,current
2025-2026,BioBot,Detected,2025-09-19T00:00:00Z,Municipal,MWRA Northern,425128.16857142857,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-09-19,current
2025-2026,BioBot,Detected,2025-07-09T00:00:00Z,Municipal,MWRA Southern,106301.43428571429,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-07-09,current
2025-2026,BioBot,Detected,2025-08-07T00:00:00Z,Municipal,Amherst WWTP,66043.57,2,copies/L,Hadley,MA,Hampshire,2025-11-13T00:00:00Z,2025-08-07,current
2025-2026,BioBot,Detected,2025-09-18T00:00:00Z,Municipal,Whitman,1541795.8580000002,5,copies/L,Brockton,MA,Plymouth,2025-11-13T00:00:00Z,2025-09-18,current
2025-2026,BioBot,Detected,2025-07-31T00:00:00Z,Municipal,Springfield WWTP,341557.065,2,copies/L,Agawam,MA,Hampden,2025-11-13T00:00:00Z,2025-07-31,current
2025-2026,BioBot,Detected,2025-09-11T00:00:00Z,Municipal,Wareham WPCF,680760.0075,4,copies/L,Wareham,MA,Plymouth,2025-11-13T00:00:00Z,2025-09-11,current
2025-2026,BioBot,Detected,2025-08-05T00:00:00Z,Municipal,SESD-Peabody/Salem Pump,156342.515,4,copies/L,Salem,MA,Essex,2025-11-13T00:00:00Z,2025-08-05,current
2025-2026,BioBot,Detected,2025-08-10T00:00:00Z,Municipal,MWRA Northern,234580.2742857143,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-08-10,current
2025-2026,BioBot,Detected,2025-10-30T00:00:00Z,Municipal,MWRA Northern,182493.16999999998,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-10-30,current
2025-2026,BioBot,Detected,2025-07-17T00:00:00Z,Municipal,MWRA Northern,119494.37428571426,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-07-17,current
2025-2026,BioBot,Detected,2025-07-29T00:00:00Z,Municipal,SESD-Peabody Metering Station,253794.30333333334,3,copies/L,Salem,MA,Essex,2025-11-13T00:00:00Z,2025-07-29,current
2025-2026,BioBot,Detected,2025-10-26T00:00:00Z,Municipal,SESD-Peabody/Salem Pump,279541.35750000004,4,copies/L,Salem,MA,Essex,2025-11-13T00:00:00Z,2025-10-26,current
2025-2026,BioBot,Detected,2025-10-08T00:00:00Z,Municipal,SESD-Peabody/Salem Pump,281060.6525,4,copies/L,Salem,MA,Essex,2025-11-13T00:00:00Z,2025-10-08,current
2025-2026,BioBot,Detected,2025-07-17T00:00:00Z,Municipal,Pittsfield WWTP,124254.7225,4,copies/L,Pittsfield,MA,Berkshire,2025-11-13T00:00:00Z,2025-07-17,current
2025-2026,BioBot,Detected,2025-06-29T00:00:00Z,Municipal,MWRA Southern,122037.27428571427,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-06-29,current
2025-2026,BioBot,Detected,2025-09-03T00:00:00Z,Municipal,MWRA Southern,338130.4528571428,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-09-03,current
2025-2026,BioBot,Not Detected,2025-10-16T00:00:00Z,Municipal,Surfside WTF,85387.395,2,copies/L,Nantucket,MA,Nantucket,2025-11-13T00:00:00Z,2025-10-16,current
2025-2026,BioBot,Detected,2025-10-16T00:00:00Z,Municipal,Surfside WTF,98461.045,2,copies/L,Nantucket,MA,Nantucket,2025-11-13T00:00:00Z,2025-10-16,current
2025-2026,BioBot,Detected,2025-08-12T00:00:00Z,Municipal,MWRA Northern,241489.11000000002,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-08-12,current
2025-2026,BioBot,Detected,2025-08-19T00:00:00Z,Municipal,Haverhill WWTP,287373.6425,4,copies/L,Haverhill,MA,Essex,2025-11-13T00:00:00Z,2025-08-19,current
2025-2026,BioBot,Detected,2025-08-19T00:00:00Z,Municipal,Haverhill WWTP,320614.775,4,copies/L,Haverhill,MA,Essex,2025-11-13T00:00:00Z,2025-08-19,current
2025-2026,BioBot,Detected,2025-09-17T00:00:00Z,Municipal,Upper Blackstone Clean Water,894157.275,4,copies/L,Worcester,MA,Worcester,2025-11-13T00:00:00Z,2025-09-17,current
2025-2026,BioBot,Detected,2025-10-05T00:00:00Z,Municipal,MWRA Northern,249191.89285714287,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-10-05,current
2025-2026,BioBot,Detected,2025-08-29T00:00:00Z,Municipal,MWRA Southern,301265.9,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-08-29,current
2025-2026,BioBot,Detected,2025-07-17T00:00:00Z,Municipal,Fitchburg Public Works,186711.8125,4,copies/L,Fitchburg,MA,Worcester,2025-11-13T00:00:00Z,2025-07-17,current
2025-2026,BioBot,Detected,2025-08-19T00:00:00Z,Municipal,Upper Blackstone Clean Water,864244.9099999999,4,copies/L,Worcester,MA,Worcester,2025-11-13T00:00:00Z,2025-08-19,current
2025-2026,BioBot,Detected,2025-08-30T00:00:00Z,Municipal,MWRA Northern,288825.71142857143,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-08-30,current
2025-2026,BioBot,Detected,2025-11-04T00:00:00Z,Municipal,MWRA Southern,113467.64714285715,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-11-04,current
2025-2026,BioBot,Detected,2025-08-20T00:00:00Z,Municipal,Montague Clean Water Facility,2287696.2033333336,3,copies/L,Montague,MA,Franklin,2025-11-13T00:00:00Z,2025-08-20,current
2025-2026,BioBot,Detected,2025-08-28T00:00:00Z,Municipal,Springfield WWTP,354976.05000000005,2,copies/L,Agawam,MA,Hampden,2025-11-13T00:00:00Z,2025-08-28,current
2025-2026,BioBot,Detected,2025-09-30T00:00:00Z,Municipal,SESD-Peabody Metering Station,725939.2200000001,3,copies/L,Salem,MA,Essex,2025-11-13T00:00:00Z,2025-09-30,current
2025-2026,BioBot,Detected,2025-09-04T00:00:00Z,Municipal,Brockton/ Abington,716562.7133333334,3,copies/L,Brockton,MA,Plymouth,2025-11-13T00:00:00Z,2025-09-04,current
2025-2026,BioBot,Detected,2025-10-22T00:00:00Z,Municipal,SESD-Peabody/Salem Pump,346229.4125,4,copies/L,Salem,MA,Essex,2025-11-13T00:00:00Z,2025-10-22,current
2025-2026,BioBot,Detected,2025-08-28T00:00:00Z,Municipal,Wareham WPCF,758574.565,4,copies/L,Wareham,MA,Plymouth,2025-11-13T00:00:00Z,2025-08-28,current
2025-2026,BioBot,Detected,2025-10-22T00:00:00Z,Municipal,Upper Blackstone Clean Water,357053.9525,4,copies/L,Worcester,MA,Worcester,2025-11-13T00:00:00Z,2025-10-22,current
2025-2026,BioBot,Detected,2025-08-09T00:00:00Z,Municipal,SESD-Peabody Metering Station,442817.80666666664,3,copies/L,Salem,MA,Essex,2025-11-13T00:00:00Z,2025-08-09,current
2025-2026,BioBot,Detected,2025-10-01T00:00:00Z,Municipal,MWRA Southern,228662.9142857143,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-10-01,current
2025-2026,BioBot,Detected,2025-08-19T00:00:00Z,Municipal,MWRA Southern,314205.51857142855,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-08-19,current
2025-2026,BioBot,Detected,2025-07-14T00:00:00Z,Municipal,SESD-Peabody/Salem Pump,163461.885,4,copies/L,Salem,MA,Essex,2025-11-13T00:00:00Z,2025-07-14,current
2025-2026,BioBot,Detected,2025-07-01T00:00:00Z,Municipal,Upper Blackstone Clean Water,107689.8425,4,copies/L,Worcester,MA,Worcester,2025-11-13T00:00:00Z,2025-07-01,current
2025-2026,BioBot,Detected,2025-09-22T00:00:00Z,Municipal,SESD-Peabody/Salem Pump,431350.29500000004,4,copies/L,Salem,MA,Essex,2025-11-13T00:00:00Z,2025-09-22,current
2025-2026,BioBot,Detected,2025-09-25T00:00:00Z,Municipal,Plymouth Headworks Influent,269679.7,3,copies/L,Plymouth,MA,Plymouth,2025-11-13T00:00:00Z,2025-09-25,current
2025-2026,BioBot,Detected,2025-08-17T00:00:00Z,Municipal,MWRA Northern,283573.5185714286,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-08-17,current
2025-2026,BioBot,Detected,2025-08-01T00:00:00Z,Municipal,SESD-Peabody/Salem Pump,128356.46200000001,5,copies/L,Salem,MA,Essex,2025-11-13T00:00:00Z,2025-08-01,current
2025-2026,BioBot,Detected,2025-10-09T00:00:00Z,Municipal,Brockton/ Abington,155105.9125,4,copies/L,Brockton,MA,Plymouth,2025-11-13T00:00:00Z,2025-10-09,current
2025-2026,BioBot,Detected,2025-08-12T00:00:00Z,Municipal,Fall River WWTP,55697.58,4,copies/L,Fall River,MA,Bristol,2025-11-13T00:00:00Z,2025-08-12,current
2025-2026,BioBot,Detected,2025-07-30T00:00:00Z,Municipal,Uxbridge WWTF,147434.67666666667,3,copies/L,Uxbridge,MA,Worcester,2025-11-13T00:00:00Z,2025-07-30,current
2025-2026,BioBot,Detected,2025-10-29T00:00:00Z,Municipal,Montague Clean Water Facility,28961605.126666665,3,copies/L,Montague,MA,Franklin,2025-11-13T00:00:00Z,2025-10-29,current
