respiratory_season,tester,sars-cov-2_detected,sample_collection_date,site_type,name_of_sampling_location,7_day_average_of_sars-cov-2_concentration,number_of_samples_in_the_last_7_days,units_(measuring_concentration),city_of_sampling_location,state_of_sampling_location,county_of_sampling_location,date_data_last_updated,date,source
2025-2026,BioBot,Detected,2025-08-11T00:00:00Z,Municipal,Brockton/ Abington,464985.885,4,copies/L,Brockton,MA,Plymouth,2025-11-13T00:00:00Z,2025-08-11,current
2025-2026,BioBot,Detected,2025-08-19T00:00:00Z,Municipal,Wareham WPCF,117205.22,4,copies/L,Wareham,MA,Plymouth,2025-11-13T00:00:00Z,2025-08-19,current
2025-2026,BioBot,Not Detected,2025-10-14T00:00:00Z,Municipal,New Bedford WWTF,0,1,copies/L,New Bedford,MA,Bristol,2025-11-13T00:00:00Z,2025-10-14,current
2025-2026,BioBot,Detected,2025-10-14T00:00:00Z,Municipal,New Bedford WWTF,70625.73,1,copies/L,New Bedford,MA,Bristol,2025-11-13T00:00:00Z,2025-10-14,current
2025-2026,BioBot,Detected,2025-08-26T00:00:00Z,Municipal,Springfield WWTP,883401.365,2,copies/L,Agawam,MA,Hampden,2025-11-13T00:00:00Z,2025-08-26,current
2025-2026,BioBot,Detected,2025-08-17T00:00:00Z,Municipal,Haverhill WWTP,367689.74,3,copies/L,Haverhill,MA,Essex,2025-11-13T00:00:00Z,2025-08-17,current
2025-2026,BioBot,Detected,2025-08-17T00:00:00Z,Municipal,Haverhill WWTP,412011.25,3,copies/L,Haverhill,MA,Essex,2025-11-13T00:00:00Z,2025-08-17,current
2025-2026,BioBot,Detected,2025-07-10T00:00:00Z,Municipal,Uxbridge WWTF,225683.69000000003,3,copies/L,Uxbridge,MA,Worcester,2025-11-13T00:00:00Z,2025-07-10,current
2025-2026,BioBot,Detected,2025-09-03T00:00:00Z,Municipal,Hull WWTF,420154.0933333333,3,copies/L,Hull,MA,Plymouth,2025-11-13T00:00:00Z,2025-09-03,current
2025-2026,BioBot,Detected,2025-10-10T00:00:00Z,Municipal,MFN Regional Wastewater District,162130.7,2,copies/L,Norton,MA,Bristol,2025-11-13T00:00:00Z,2025-10-10,current
2025-2026,BioBot,Detected,2025-08-06T00:00:00Z,Municipal,Sunderland WWTP,95383.28,1,copies/L,Sunderland,MA,Franklin,2025-11-13T00:00:00Z,2025-08-06,current
2025-2026,BioBot,Detected,2025-07-30T00:00:00Z,Municipal,Plymouth Headworks Influent,169242.47999999998,4,copies/L,Plymouth,MA,Plymouth,2025-11-13T00:00:00Z,2025-07-30,current
2025-2026,BioBot,Detected,2025-07-17T00:00:00Z,Municipal,Surfside WTF,516873.21499999997,2,copies/L,Nantucket,MA,Nantucket,2025-11-13T00:00:00Z,2025-07-17,current
2025-2026,BioBot,Detected,2025-07-17T00:00:00Z,Municipal,Surfside WTF,438439.68,2,copies/L,Nantucket,MA,Nantucket,2025-11-13T00:00:00Z,2025-07-17,current
2025-2026,BioBot,Detected,2025-07-17T00:00:00Z,Municipal,Surfside WTF,437245.48,2,copies/L,Nantucket,MA,Nantucket,2025-11-13T00:00:00Z,2025-07-17,current
2025-2026,BioBot,Detected,2025-07-01T00:00:00Z,Municipal,Lynn WWTF,116634.30666666669,3,copies/L,Lynn,MA,Essex,2025-11-13T00:00:00Z,2025-07-01,current
2025-2026,BioBot,Detected,2025-07-17T00:00:00Z,Municipal,Surfside WTF,84236.395,2,copies/L,Nantucket,MA,Nantucket,2025-11-13T00:00:00Z,2025-07-17,current
2025-2026,BioBot,Detected,2025-07-17T00:00:00Z,Municipal,Surfside WTF,5802.86,2,copies/L,Nantucket,MA,Nantucket,2025-11-13T00:00:00Z,2025-07-17,current
2025-2026,BioBot,Detected,2025-07-17T00:00:00Z,Municipal,Surfside WTF,4608.66,2,copies/L,Nantucket,MA,Nantucket,2025-11-13T00:00:00Z,2025-07-17,current
2025-2026,BioBot,Not Detected,2025-07-17T00:00:00Z,Municipal,Surfside WTF,79627.735,2,copies/L,Nantucket,MA,Nantucket,2025-11-13T00:00:00Z,2025-07-17,current
2025-2026,BioBot,Not Detected,2025-07-17T00:00:00Z,Municipal,Surfside WTF,1194.2,2,copies/L,Nantucket,MA,Nantucket,2025-11-13T00:00:00Z,2025-07-17,current
2025-2026,BioBot,Not Detected,2025-07-17T00:00:00Z,Municipal,Surfside WTF,0,2,copies/L,Nantucket,MA,Nantucket,2025-11-13T00:00:00Z,2025-07-17,current
2025-2026,BioBot,Not Detected,2025-10-20T00:00:00Z,Municipal,Montague Clean Water Facility,136442.8775,4,copies/L,Montague,MA,Franklin,2025-11-13T00:00:00Z,2025-10-20,current
2025-2026,BioBot,Detected,2025-09-22T00:00:00Z,Municipal,Haverhill WWTP,480747.50333333336,3,copies/L,Haverhill,MA,Essex,2025-11-13T00:00:00Z,2025-09-22,current
2025-2026,BioBot,Detected,2025-07-01T00:00:00Z,Municipal,Pittsfield WWTP,73227.745,4,copies/L,Pittsfield,MA,Berkshire,2025-11-13T00:00:00Z,2025-07-01,current
2025-2026,BioBot,Detected,2025-08-21T00:00:00Z,Municipal,Hopedale WWTP,432019.11,2,copies/L,Hopedale,MA,Worcester,2025-11-13T00:00:00Z,2025-08-21,current
2025-2026,BioBot,Detected,2025-11-04T00:00:00Z,Municipal,Fitchburg Public Works,349044.33999999997,4,copies/L,Fitchburg,MA,Worcester,2025-11-13T00:00:00Z,2025-11-04,current
2025-2026,BioBot,Detected,2025-09-26T00:00:00Z,Municipal,MFN Regional Wastewater District,139281.265,2,copies/L,Norton,MA,Bristol,2025-11-13T00:00:00Z,2025-09-26,current
2025-2026,BioBot,Detected,2025-09-01T00:00:00Z,Municipal,Northbridge Sewer Department,779513.63,2,copies/L,Northbridge,MA,Worcester,2025-11-13T00:00:00Z,2025-09-01,current
2025-2026,BioBot,Detected,2025-11-04T00:00:00Z,Municipal,Amherst WWTP,38161.14,2,copies/L,Hadley,MA,Hampshire,2025-11-13T00:00:00Z,2025-11-04,current
2025-2026,BioBot,Detected,2025-09-04T00:00:00Z,Municipal,Northbridge Sewer Department,760589.21,2,copies/L,Northbridge,MA,Worcester,2025-11-13T00:00:00Z,2025-09-04,current
2025-2026,BioBot,Detected,2025-08-18T00:00:00Z,Municipal,MFN Regional Wastewater District,154507.1,2,copies/L,Norton,MA,Bristol,2025-11-13T00:00:00Z,2025-08-18,current
2025-2026,BioBot,Detected,2025-11-03T00:00:00Z,Municipal,MFN Regional Wastewater District,230598.92,1,copies/L,Norton,MA,Bristol,2025-11-13T00:00:00Z,2025-11-03,current
2025-2026,BioBot,Detected,2025-06-30T00:00:00Z,Municipal,Uxbridge WWTF,52693.85666666667,3,copies/L,Uxbridge,MA,Worcester,2025-11-13T00:00:00Z,2025-06-30,current
2025-2026,BioBot,Detected,2025-07-22T00:00:00Z,Municipal,Billerica Treatment Plant,139430.24,2,copies/L,Billerica,MA,Middlesex,2025-11-13T00:00:00Z,2025-07-22,current
2025-2026,BioBot,Detected,2025-10-14T00:00:00Z,Municipal,Pittsfield WWTP,1611106.2366666666,3,copies/L,Pittsfield,MA,Berkshire,2025-11-13T00:00:00Z,2025-10-14,current
2025-2026,BioBot,Detected,2025-09-21T00:00:00Z,Municipal,Haverhill WWTP,586536.46,2,copies/L,Haverhill,MA,Essex,2025-11-13T00:00:00Z,2025-09-21,current
2025-2026,BioBot,Detected,2025-10-21T00:00:00Z,Municipal,Wareham WPCF,201584.225,4,copies/L,Wareham,MA,Plymouth,2025-11-13T00:00:00Z,2025-10-21,current
2025-2026,BioBot,Detected,2025-07-09T00:00:00Z,Municipal,South Hadley Div. of WPC,42310.24,1,copies/L,Chicopee,MA,Hampden,2025-11-13T00:00:00Z,2025-07-09,current
2025-2026,BioBot,Detected,2025-07-10T00:00:00Z,Municipal,Greenfield WPCF,136559.775,2,copies/L,Greenfield,MA,Franklin,2025-11-13T00:00:00Z,2025-07-10,current
2025-2026,BioBot,Detected,2025-07-28T00:00:00Z,Municipal,Billerica Treatment Plant,193883.6466666667,3,copies/L,Billerica,MA,Middlesex,2025-11-13T00:00:00Z,2025-07-28,current
2025-2026,BioBot,Detected,2025-09-08T00:00:00Z,Municipal,Brockton/ Abington,328258.09500000003,4,copies/L,Brockton,MA,Plymouth,2025-11-13T00:00:00Z,2025-09-08,current
2025-2026,BioBot,Not Detected,2025-08-14T00:00:00Z,Municipal,Surfside WTF,0,2,copies/L,Nantucket,MA,Nantucket,2025-11-13T00:00:00Z,2025-08-14,current
2025-2026,BioBot,Not Detected,2025-08-14T00:00:00Z,Municipal,Surfside WTF,372322.23,2,copies/L,Nantucket,MA,Nantucket,2025-11-13T00:00:00Z,2025-08-14,current
2025-2026,BioBot,Detected,2025-08-14T00:00:00Z,Municipal,Surfside WTF,602458.905,2,copies/L,Nantucket,MA,Nantucket,2025-11-13T00:00:00Z,2025-08-14,current
2025-2026,BioBot,Detected,2025-08-14T00:00:00Z,Municipal,Surfside WTF,974781.135,2,copies/L,Nantucket,MA,Nantucket,2025-11-13T00:00:00Z,2025-08-14,current
2025-2026,BioBot,Detected,2025-10-23T00:00:00Z,Municipal,Northbridge Sewer Department,105030.6,2,copies/L,Northbridge,MA,Worcester,2025-11-13T00:00:00Z,2025-10-23,current
2025-2026,BioBot,Detected,2025-08-25T00:00:00Z,Municipal,Fall River WWTP,35310.82,2,copies/L,Fall River,MA,Bristol,2025-11-13T00:00:00Z,2025-08-25,current
2025-2026,BioBot,Detected,2025-09-22T00:00:00Z,Municipal,Wareham WPCF,1176823.67,4,copies/L,Wareham,MA,Plymouth,2025-11-13T00:00:00Z,2025-09-22,current
2025-2026,BioBot,Detected,2025-08-14T00:00:00Z,Municipal,Hopedale WWTP,147960.405,2,copies/L,Hopedale,MA,Worcester,2025-11-13T00:00:00Z,2025-08-14,current
2025-2026,BioBot,Detected,2025-09-22T00:00:00Z,Municipal,Billerica Treatment Plant,945362.8,2,copies/L,Billerica,MA,Middlesex,2025-11-13T00:00:00Z,2025-09-22,current
2025-2026,BioBot,Not Detected,2025-11-03T00:00:00Z,Municipal,Montague Clean Water Facility,9377866.976666667,3,copies/L,Montague,MA,Franklin,2025-11-13T00:00:00Z,2025-11-03,current
2025-2026,BioBot,Detected,2025-07-29T00:00:00Z,Municipal,Whitman,195822.5,4,copies/L,Brockton,MA,Plymouth,2025-11-13T00:00:00Z,2025-07-29,current
2025-2026,BioBot,Detected,2025-08-17T00:00:00Z,Municipal,Upper Blackstone Clean Water,623083.785,4,copies/L,Worcester,MA,Worcester,2025-11-13T00:00:00Z,2025-08-17,current
2025-2026,BioBot,Detected,2025-08-26T00:00:00Z,Municipal,Pittsfield WWTP,210740.28999999998,4,copies/L,Pittsfield,MA,Berkshire,2025-11-13T00:00:00Z,2025-08-26,current
2025-2026,BioBot,Detected,2025-09-22T00:00:00Z,Municipal,MFN Regional Wastewater District,233093.19,2,copies/L,Norton,MA,Bristol,2025-11-13T00:00:00Z,2025-09-22,current
2025-2026,BioBot,Detected,2025-08-18T00:00:00Z,Municipal,Northbridge Sewer Department,252295.735,2,copies/L,Northbridge,MA,Worcester,2025-11-13T00:00:00Z,2025-08-18,current
2025-2026,BioBot,Detected,2025-09-02T00:00:00Z,Municipal,Lynn WWTF,328548.12,2,copies/L,Lynn,MA,Essex,2025-11-13T00:00:00Z,2025-09-02,current
2025-2026,BioBot,Detected,2025-11-02T00:00:00Z,Municipal,Upper Blackstone Clean Water,200220.165,4,copies/L,Worcester,MA,Worcester,2025-11-13T00:00:00Z,2025-11-02,current
2025-2026,BioBot,Detected,2025-08-28T00:00:00Z,Municipal,Greenfield WPCF,149863.29333333333,3,copies/L,Greenfield,MA,Franklin,2025-11-13T00:00:00Z,2025-08-28,current
2025-2026,BioBot,Detected,2025-07-20T00:00:00Z,Municipal,Brockton/ Abington,254131.9125,4,copies/L,Brockton,MA,Plymouth,2025-11-13T00:00:00Z,2025-07-20,current
2025-2026,BioBot,Detected,2025-08-29T00:00:00Z,Municipal,SESD-Peabody/Salem Pump,758016.8875000001,4,copies/L,Salem,MA,Essex,2025-11-13T00:00:00Z,2025-08-29,current
2025-2026,BioBot,Detected,2025-07-27T00:00:00Z,Municipal,Upper Blackstone Clean Water,276560.9075,4,copies/L,Worcester,MA,Worcester,2025-11-13T00:00:00Z,2025-07-27,current
2025-2026,BioBot,Not Detected,2025-07-14T00:00:00Z,Municipal,S.Deerfield WWTP,9417.28,3,copies/L,Deerfield,MA,Franklin,2025-11-13T00:00:00Z,2025-07-14,current
2025-2026,BioBot,Detected,2025-08-04T00:00:00Z,Municipal,Brockton/ Abington,405405.0475000001,4,copies/L,Brockton,MA,Plymouth,2025-11-13T00:00:00Z,2025-08-04,current
2025-2026,BioBot,Detected,2025-09-19T00:00:00Z,Municipal,Pittsfield WWTP,700997.3325,4,copies/L,Pittsfield,MA,Berkshire,2025-11-13T00:00:00Z,2025-09-19,current
2025-2026,BioBot,Detected,2025-09-30T00:00:00Z,Municipal,S.Deerfield WWTP,364522.93,3,copies/L,Deerfield,MA,Franklin,2025-11-13T00:00:00Z,2025-09-30,current
2025-2026,BioBot,Detected,2025-08-22T00:00:00Z,Municipal,MFN Regional Wastewater District,240748.70500000002,2,copies/L,Norton,MA,Bristol,2025-11-13T00:00:00Z,2025-08-22,current
2025-2026,BioBot,Detected,2025-10-27T00:00:00Z,Municipal,Pittsfield WWTP,81865.2,4,copies/L,Pittsfield,MA,Berkshire,2025-11-13T00:00:00Z,2025-10-27,current
2025-2026,BioBot,Detected,2025-10-29T00:00:00Z,Municipal,Greenfield WPCF,416132.73000000004,2,copies/L,Greenfield,MA,Franklin,2025-11-13T00:00:00Z,2025-10-29,current
2025-2026,BioBot,Detected,2025-08-05T00:00:00Z,Municipal,Springfield WWTP,183171.495,2,copies/L,Agawam,MA,Hampden,2025-11-13T00:00:00Z,2025-08-05,current
2025-2026,BioBot,Detected,2025-09-19T00:00:00Z,Municipal,MFN Regional Wastewater District,280292.74,2,copies/L,Norton,MA,Bristol,2025-11-13T00:00:00Z,2025-09-19,current
2025-2026,BioBot,Detected,2025-09-10T00:00:00Z,Municipal,Greenfield WPCF,246734.48500000002,2,copies/L,Greenfield,MA,Franklin,2025-11-13T00:00:00Z,2025-09-10,current
2025-2026,BioBot,Detected,2025-11-03T00:00:00Z,Municipal,Billerica Treatment Plant,181695.58000000002,2,copies/L,Billerica,MA,Middlesex,2025-11-13T00:00:00Z,2025-11-03,current
2025-2026,BioBot,Detected,2025-09-23T00:00:00Z,Municipal,Upper Blackstone Clean Water,869132.1533333333,3,copies/L,Worcester,MA,Worcester,2025-11-13T00:00:00Z,2025-09-23,current
2025-2026,BioBot,Detected,2025-09-23T00:00:00Z,Municipal,Upper Blackstone Clean Water,773845.12,3,copies/L,Worcester,MA,Worcester,2025-11-13T00:00:00Z,2025-09-23,current
2025-2026,BioBot,Detected,2025-10-09T00:00:00Z,Municipal,Northbridge Sewer Department,601714.12,2,copies/L,Northbridge,MA,Worcester,2025-11-13T00:00:00Z,2025-10-09,current
2025-2026,BioBot,Detected,2025-07-22T00:00:00Z,Municipal,Whitman,175893.1325,4,copies/L,Brockton,MA,Plymouth,2025-11-13T00:00:00Z,2025-07-22,current
2025-2026,BioBot,Detected,2025-08-12T00:00:00Z,Municipal,New Bedford WWTF,4439.08,1,copies/L,New Bedford,MA,Bristol,2025-11-13T00:00:00Z,2025-08-12,current
2025-2026,BioBot,Not Detected,2025-08-12T00:00:00Z,Municipal,New Bedford WWTF,0,1,copies/L,New Bedford,MA,Bristol,2025-11-13T00:00:00Z,2025-08-12,current
2025-2026,BioBot,Detected,2025-08-12T00:00:00Z,Municipal,New Bedford WWTF,292670.3,1,copies/L,New Bedford,MA,Bristol,2025-11-13T00:00:00Z,2025-08-12,current
2025-2026,BioBot,Detected,2025-08-26T00:00:00Z,Municipal,Whitman,414022.65,4,copies/L,Brockton,MA,Plymouth,2025-11-13T00:00:00Z,2025-08-26,current
2025-2026,BioBot,Detected,2025-08-12T00:00:00Z,Municipal,Whitman,1173079.9974999998,4,copies/L,Brockton,MA,Plymouth,2025-11-13T00:00:00Z,2025-08-12,current
2025-2026,BioBot,Detected,2025-08-15T00:00:00Z,Municipal,Pittsfield WWTP,260224.4525,4,copies/L,Pittsfield,MA,Berkshire,2025-11-13T00:00:00Z,2025-08-15,current
2025-2026,BioBot,Detected,2025-10-27T00:00:00Z,Municipal,Uxbridge WWTF,261208.35333333336,3,copies/L,Uxbridge,MA,Worcester,2025-11-13T00:00:00Z,2025-10-27,current
2025-2026,BioBot,Not Detected,2025-09-15T00:00:00Z,Municipal,Montague Clean Water Facility,344474.35250000004,4,copies/L,Montague,MA,Franklin,2025-11-13T00:00:00Z,2025-09-15,current
2025-2026,BioBot,Detected,2025-08-26T00:00:00Z,Municipal,Amherst WWTP,247471.06,2,copies/L,Hadley,MA,Hampshire,2025-11-13T00:00:00Z,2025-08-26,current
2025-2026,BioBot,Detected,2025-08-11T00:00:00Z,Municipal,Hopedale WWTP,1248408.29,2,copies/L,Hopedale,MA,Worcester,2025-11-13T00:00:00Z,2025-08-11,current
2025-2026,BioBot,Detected,2025-10-09T00:00:00Z,Municipal,Uxbridge WWTF,304674.8933333333,3,copies/L,Uxbridge,MA,Worcester,2025-11-13T00:00:00Z,2025-10-09,current
2025-2026,BioBot,Detected,2025-09-09T00:00:00Z,Municipal,Fitchburg Public Works,440245.9725,4,copies/L,Fitchburg,MA,Worcester,2025-11-13T00:00:00Z,2025-09-09,current
2025-2026,BioBot,Detected,2025-10-29T00:00:00Z,Municipal,South Hadley Div. of WPC,171070.46,2,copies/L,Chicopee,MA,Hampden,2025-11-13T00:00:00Z,2025-10-29,current
2025-2026,BioBot,Detected,2025-07-21T00:00:00Z,Municipal,Fitchburg Public Works,165685.5975,4,copies/L,Fitchburg,MA,Worcester,2025-11-13T00:00:00Z,2025-07-21,current
2025-2026,BioBot,Detected,2025-07-08T00:00:00Z,Municipal,Fall River WWTP,9402.795,2,copies/L,Fall River,MA,Bristol,2025-11-13T00:00:00Z,2025-07-08,current
2025-2026,BioBot,Detected,2025-10-21T00:00:00Z,Municipal,S.Deerfield WWTP,234671.49,4,copies/L,Deerfield,MA,Franklin,2025-11-13T00:00:00Z,2025-10-21,current
2025-2026,BioBot,Detected,2025-07-28T00:00:00Z,Municipal,Upper Blackstone Clean Water,323788.1325,4,copies/L,Worcester,MA,Worcester,2025-11-13T00:00:00Z,2025-07-28,current
2025-2026,BioBot,Detected,2025-08-11T00:00:00Z,Municipal,Uxbridge WWTF,489334.51333333337,3,copies/L,Uxbridge,MA,Worcester,2025-11-13T00:00:00Z,2025-08-11,current
2025-2026,BioBot,Detected,2025-06-30T00:00:00Z,Municipal,Billerica Treatment Plant,132227.235,2,copies/L,Billerica,MA,Middlesex,2025-11-13T00:00:00Z,2025-06-30,current
2025-2026,BioBot,Detected,2025-07-20T00:00:00Z,Municipal,Upper Blackstone Clean Water,221574.94,4,copies/L,Worcester,MA,Worcester,2025-11-13T00:00:00Z,2025-07-20,current
2025-2026,BioBot,Detected,2025-07-06T00:00:00Z,Municipal,Upper Blackstone Clean Water,95413.17749999999,4,copies/L,Worcester,MA,Worcester,2025-11-13T00:00:00Z,2025-07-06,current
2025-2026,BioBot,Detected,2025-09-06T00:00:00Z,Municipal,South Hadley Div. of WPC,453219.49,2,copies/L,Chicopee,MA,Hampden,2025-11-13T00:00:00Z,2025-09-06,current
2025-2026,BioBot,Detected,2025-07-08T00:00:00Z,Municipal,S.Deerfield WWTP,32988.445,2,copies/L,Deerfield,MA,Franklin,2025-11-13T00:00:00Z,2025-07-08,current
2025-2026,BioBot,Detected,2025-07-01T00:00:00Z,Municipal,Springfield WWTP,142721.69,2,copies/L,Agawam,MA,Hampden,2025-11-13T00:00:00Z,2025-07-01,current
2025-2026,BioBot,Detected,2025-10-15T00:00:00Z,Municipal,Fitchburg Public Works,154639.03666666665,3,copies/L,Fitchburg,MA,Worcester,2025-11-13T00:00:00Z,2025-10-15,current
2025-2026,BioBot,Detected,2025-09-25T00:00:00Z,Municipal,Hopedale WWTP,1407644.915,2,copies/L,Hopedale,MA,Worcester,2025-11-13T00:00:00Z,2025-09-25,current
2025-2026,BioBot,Detected,2025-07-08T00:00:00Z,Municipal,Amherst WWTP,274781.47,1,copies/L,Hadley,MA,Hampshire,2025-11-13T00:00:00Z,2025-07-08,current
2025-2026,BioBot,Detected,2025-10-23T00:00:00Z,Municipal,Uxbridge WWTF,209814.91666666666,3,copies/L,Uxbridge,MA,Worcester,2025-11-13T00:00:00Z,2025-10-23,current
2025-2026,BioBot,Detected,2025-10-01T00:00:00Z,Municipal,Hull WWTF,2161449.453333333,3,copies/L,Hull,MA,Plymouth,2025-11-13T00:00:00Z,2025-10-01,current
2025-2026,BioBot,Detected,2025-08-13T00:00:00Z,Municipal,Fitchburg Public Works,247106.97999999998,2,copies/L,Fitchburg,MA,Worcester,2025-11-13T00:00:00Z,2025-08-13,current
2025-2026,BioBot,Detected,2025-11-05T00:00:00Z,Municipal,Lynn WWTF,83915.34,1,copies/L,Lynn,MA,Essex,2025-11-13T00:00:00Z,2025-11-05,current
2025-2026,BioBot,Detected,2025-10-04T00:00:00Z,Municipal,South Hadley Div. of WPC,365287.595,2,copies/L,Chicopee,MA,Hampden,2025-11-13T00:00:00Z,2025-10-04,current
2025-2026,BioBot,Detected,2025-10-01T00:00:00Z,Municipal,Billerica Treatment Plant,972264.68,1,copies/L,Billerica,MA,Middlesex,2025-11-13T00:00:00Z,2025-10-01,current
2025-2026,BioBot,Detected,2025-08-18T00:00:00Z,Municipal,Uxbridge WWTF,996755.4400000001,3,copies/L,Uxbridge,MA,Worcester,2025-11-13T00:00:00Z,2025-08-18,current
2025-2026,BioBot,Detected,2025-09-08T00:00:00Z,Municipal,Upper Blackstone Clean Water,1107437.525,4,copies/L,Worcester,MA,Worcester,2025-11-13T00:00:00Z,2025-09-08,current
2025-2026,BioBot,Detected,2025-10-13T00:00:00Z,Municipal,Wareham WPCF,533890.5425,4,copies/L,Wareham,MA,Plymouth,2025-11-13T00:00:00Z,2025-10-13,current
2025-2026,BioBot,Detected,2025-09-09T00:00:00Z,Municipal,Pittsfield WWTP,240975.63999999998,5,copies/L,Pittsfield,MA,Berkshire,2025-11-13T00:00:00Z,2025-09-09,current
2025-2026,BioBot,Detected,2025-10-13T00:00:00Z,Municipal,MFN Regional Wastewater District,115647.79999999999,2,copies/L,Norton,MA,Bristol,2025-11-13T00:00:00Z,2025-10-13,current
2025-2026,BioBot,Detected,2025-09-22T00:00:00Z,Municipal,Upper Blackstone Clean Water,1126387.2966666666,3,copies/L,Worcester,MA,Worcester,2025-11-13T00:00:00Z,2025-09-22,current
2025-2026,BioBot,Detected,2025-09-22T00:00:00Z,Municipal,Upper Blackstone Clean Water,1031100.2633333333,3,copies/L,Worcester,MA,Worcester,2025-11-13T00:00:00Z,2025-09-22,current
2025-2026,BioBot,Detected,2025-09-15T00:00:00Z,Municipal,Hopedale WWTP,239051.76,2,copies/L,Hopedale,MA,Worcester,2025-11-13T00:00:00Z,2025-09-15,current
2025-2026,BioBot,Detected,2025-09-03T00:00:00Z,Municipal,Pittsfield WWTP,289705.37,4,copies/L,Pittsfield,MA,Berkshire,2025-11-13T00:00:00Z,2025-09-03,current
2025-2026,BioBot,Detected,2025-10-13T00:00:00Z,Municipal,Northbridge Sewer Department,304368.81,2,copies/L,Northbridge,MA,Worcester,2025-11-13T00:00:00Z,2025-10-13,current
2025-2026,BioBot,Detected,2025-09-23T00:00:00Z,Municipal,Wareham WPCF,1051050.1800000002,4,copies/L,Wareham,MA,Plymouth,2025-11-13T00:00:00Z,2025-09-23,current
2025-2026,BioBot,Detected,2025-09-24T00:00:00Z,Municipal,Sunderland WWTP,260264.71,1,copies/L,Sunderland,MA,Franklin,2025-11-13T00:00:00Z,2025-09-24,current
2025-2026,BioBot,Detected,2025-10-28T00:00:00Z,Municipal,Amherst WWTP,36502.59,2,copies/L,Hadley,MA,Hampshire,2025-11-13T00:00:00Z,2025-10-28,current
2025-2026,BioBot,Detected,2025-10-15T00:00:00Z,Municipal,Northampton WWTP,335495.91,1,copies/L,Northampton,MA,Hampshire,2025-11-13T00:00:00Z,2025-10-15,current
2025-2026,BioBot,Detected,2025-07-21T00:00:00Z,Municipal,MFN Regional Wastewater District,179814.71000000002,2,copies/L,Norton,MA,Bristol,2025-11-13T00:00:00Z,2025-07-21,current
2025-2026,BioBot,Detected,2025-08-26T00:00:00Z,Municipal,S.Deerfield WWTP,262184.11,3,copies/L,Deerfield,MA,Franklin,2025-11-13T00:00:00Z,2025-08-26,current
2025-2026,BioBot,Detected,2025-09-17T00:00:00Z,Municipal,Hull WWTF,1306851.98,3,copies/L,Hull,MA,Plymouth,2025-11-13T00:00:00Z,2025-09-17,current
2025-2026,BioBot,Detected,2025-08-26T00:00:00Z,Municipal,Hull WWTF,835801.0766666667,3,copies/L,Hull,MA,Plymouth,2025-11-13T00:00:00Z,2025-08-26,current
2025-2026,BioBot,Detected,2025-08-11T00:00:00Z,Municipal,S.Deerfield WWTP,168020.74666666667,3,copies/L,Deerfield,MA,Franklin,2025-11-13T00:00:00Z,2025-08-11,current
2025-2026,BioBot,Detected,2025-07-02T00:00:00Z,Municipal,South Hadley Div. of WPC,74927.78,2,copies/L,Chicopee,MA,Hampden,2025-11-13T00:00:00Z,2025-07-02,current
2025-2026,BioBot,Detected,2025-08-06T00:00:00Z,Municipal,Fall River WWTP,89806.84333333334,3,copies/L,Fall River,MA,Bristol,2025-11-13T00:00:00Z,2025-08-06,current
2025-2026,BioBot,Detected,2025-11-06T00:00:00Z,Municipal,Uxbridge WWTF,372788.50666666665,3,copies/L,Uxbridge,MA,Worcester,2025-11-13T00:00:00Z,2025-11-06,current
2025-2026,BioBot,Detected,2025-07-11T00:00:00Z,Municipal,Amherst WWTP,161611.025,2,copies/L,Hadley,MA,Hampshire,2025-11-13T00:00:00Z,2025-07-11,current
2025-2026,BioBot,Not Detected,2025-09-22T00:00:00Z,Municipal,S.Deerfield WWTP,123475.65000000001,3,copies/L,Deerfield,MA,Franklin,2025-11-13T00:00:00Z,2025-09-22,current
2025-2026,BioBot,Detected,2025-09-02T00:00:00Z,Municipal,Fitchburg Public Works,587626.8400000001,2,copies/L,Fitchburg,MA,Worcester,2025-11-13T00:00:00Z,2025-09-02,current
2025-2026,BioBot,Detected,2025-10-29T00:00:00Z,Municipal,Lynn WWTF,135365.69,2,copies/L,Lynn,MA,Essex,2025-11-13T00:00:00Z,2025-10-29,current
2025-2026,BioBot,Detected,2025-07-23T00:00:00Z,Municipal,Billerica Treatment Plant,249067.28000000003,2,copies/L,Billerica,MA,Middlesex,2025-11-13T00:00:00Z,2025-07-23,current
2025-2026,BioBot,Detected,2025-10-09T00:00:00Z,Municipal,Hopedale WWTP,364805.55,2,copies/L,Hopedale,MA,Worcester,2025-11-13T00:00:00Z,2025-10-09,current
2025-2026,BioBot,Detected,2025-08-04T00:00:00Z,Municipal,S.Deerfield WWTP,161162.92,3,copies/L,Deerfield,MA,Franklin,2025-11-13T00:00:00Z,2025-08-04,current
2025-2026,BioBot,Detected,2025-10-25T00:00:00Z,Municipal,South Hadley Div. of WPC,182437.435,2,copies/L,Chicopee,MA,Hampden,2025-11-13T00:00:00Z,2025-10-25,current
2025-2026,BioBot,Detected,2025-07-31T00:00:00Z,Municipal,Uxbridge WWTF,128783.45666666667,3,copies/L,Uxbridge,MA,Worcester,2025-11-13T00:00:00Z,2025-07-31,current
2025-2026,BioBot,Detected,2025-07-13T00:00:00Z,Municipal,Fall River WWTP,24752.1,4,copies/L,Fall River,MA,Bristol,2025-11-13T00:00:00Z,2025-07-13,current
